               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.028465,            0.031055,           0.0063203,              0.9098,             0.93729,             0.96073,              0.7604,            0.020822,            0.016753,           0.0024731,             0.00748,             0.00748,             0.00748
                  58,            0.027817,            0.030659,           0.0063306,             0.93211,             0.93656,             0.96828,              0.8003,            0.019257,             0.01611,           0.0024364,            0.007435,            0.007435,            0.007435
                  59,            0.027642,            0.030672,           0.0061915,             0.94866,             0.93825,             0.97221,             0.79014,            0.019354,            0.015809,           0.0023708,             0.00739,             0.00739,             0.00739
                  60,            0.028923,            0.032313,           0.0063749,             0.93189,             0.93515,             0.95674,             0.79428,             0.01751,            0.015462,           0.0023766,            0.007345,            0.007345,            0.007345
                  61,            0.027766,            0.033335,           0.0062714,             0.94116,             0.95683,             0.96537,             0.80295,            0.017793,             0.01541,           0.0021454,              0.0073,              0.0073,              0.0073
                  62,            0.029044,            0.031684,           0.0062072,              0.9453,             0.95743,             0.97481,             0.80385,            0.018059,            0.015598,           0.0021632,            0.007255,            0.007255,            0.007255
                  63,            0.027493,            0.030998,           0.0055998,             0.94969,             0.97283,             0.97491,             0.81835,            0.017094,            0.015069,           0.0019225,             0.00721,             0.00721,             0.00721
                  64,            0.027539,            0.030504,           0.0057337,             0.96771,             0.95978,             0.98415,              0.8129,            0.017888,            0.015249,            0.001926,            0.007165,            0.007165,            0.007165
                  65,            0.027603,            0.030028,           0.0057387,             0.95983,             0.95464,             0.98478,             0.80537,            0.018367,            0.015313,           0.0019542,             0.00712,             0.00712,             0.00712
                  66,            0.026671,            0.030801,           0.0053114,              0.9639,             0.96408,             0.98569,             0.81074,            0.018541,            0.015259,           0.0018596,            0.007075,            0.007075,            0.007075
                  67,            0.027212,            0.030234,           0.0055616,             0.96936,             0.98211,             0.99014,              0.8324,            0.017846,            0.014936,           0.0019422,             0.00703,             0.00703,             0.00703
                  68,            0.026892,            0.030629,           0.0056662,             0.98478,             0.96642,             0.99064,             0.84013,            0.016718,            0.014923,           0.0018867,            0.006985,            0.006985,            0.006985
                  69,            0.026688,            0.030471,           0.0056604,             0.97673,             0.97115,             0.99097,              0.8236,            0.017153,            0.014904,           0.0017727,             0.00694,             0.00694,             0.00694
                  70,            0.026484,            0.029671,           0.0054691,               0.973,             0.97741,             0.98851,             0.83263,            0.016878,            0.014878,           0.0019126,            0.006895,            0.006895,            0.006895
                  71,            0.026353,            0.029212,           0.0053861,             0.97688,               0.979,             0.98959,             0.82132,            0.016736,            0.014694,            0.001786,             0.00685,             0.00685,             0.00685
                  72,            0.026072,            0.029038,            0.005329,             0.98809,             0.98353,             0.99164,              0.8357,            0.017233,            0.014366,           0.0015844,            0.006805,            0.006805,            0.006805
